==Frequent itemsets (min_sup=10.0%)
[11], 43.3%
[25], 39.6%
[69], 36.2%
[68], 34.7%
[1], 33.7%
[102], 33.5%
[39], 32.8%
[50], 29.2%
[45], 28.2%
[85], 28.0%
[51], 27.7%
[67], 25.3%
[89], 24.4%
[6], 23.5%
[64], 23.4%
[55], 22.8%
[9], 22.7%
[65], 22.4%
[69,85], 22.2%
[63], 21.6%
[118], 21.0%
[11,25], 20.9%
[68,69], 20.7%
[5], 19.9%
[102,11], 19.5%
[25,69], 19.5%
[65,69], 19.5%
[68,85], 19.5%
[11,69], 19.4%
[102,25], 19.3%
[65,85], 19.2%
[4], 19.2%
[1,25], 18.8%
[11,39], 18.5%
[1,11], 18.4%
[11,68], 18.3%
[0], 17.9%
[25,68], 17.9%
[55,85], 17.7%
[55,69], 17.7%
[25,39], 17.2%
[65,69,85], 17.2%
[11,50], 17.1%
[63,69], 17.0%
[8], 16.6%
[11,51], 16.4%
[73], 16.3%
[39,69], 16.3%
[68,69,85], 16.1%
[25,50], 16.1%
[65,68], 15.9%
[102,69], 15.9%
[55,68], 15.8%
[18], 15.7%
[25,51], 15.6%
[11,45], 15.5%
[55,65], 15.4%
[55,69,85], 15.4%
[11,85], 15.3%
[102,39], 15.2%
[11,67], 15.1%
[1,102], 15.1%
[1,69], 15.1%
[102,50], 14.9%
[25,85], 14.6%
[1,39], 14.6%
[94], 14.6%
[36], 14.5%
[25,64], 14.4%
[25,89], 14.3%
[65,68,69], 14.3%
[11,89], 14.3%
[51,69], 14.3%
[63,85], 14.2%
[102,68], 14.1%
[65,68,85], 14.0%
[55,65,85], 14.0%
[39,68], 13.9%
[55,65,69], 13.9%
[102,51], 13.8%
[50,69], 13.7%
[11,64], 13.7%
[17], 13.7%
[67,69], 13.6%
[39,50], 13.5%
[6,69], 13.2%
[55,68,69], 13.1%
[55,68,85], 13.0%
[25,67], 13.0%
[55,65,69,85], 12.9%
[1,68], 12.9%
[118,25], 12.9%
[63,68], 12.9%
[1,45], 12.9%
[65,68,69,85], 12.9%
[39,51], 12.8%
[1,50], 12.8%
[1,51], 12.8%
[102,64], 12.7%
[25,45], 12.6%
[102,89], 12.6%
[63,69,85], 12.6%
[11,55], 12.5%
[45,69], 12.5%
[11,6], 12.4%
[102,85], 12.4%
[11,65], 12.4%
[11,69,85], 12.3%
[51,68], 12.3%
[63,65], 12.3%
[25,63], 12.3%
[69,89], 12.3%
[64,69], 12.3%
[39,85], 12.2%
[25,55], 12.2%
[50,68], 12.2%
[102,118], 12.2%
[11,118], 12.1%
[25,69,85], 12.0%
[102,67], 12.0%
[25,65], 12.0%
[55,63], 11.9%
[102,11,25], 11.8%
[67,68], 11.8%
[50,51], 11.7%
[55,68,69,85], 11.6%
[39,67], 11.6%
[25,6], 11.6%
[11,63], 11.6%
[39,45], 11.5%
[11,68,69], 11.5%
[1,89], 11.5%
[55,65,68], 11.5%
[25,68,69], 11.5%
[39,89], 11.4%
[63,65,85], 11.4%
[45,68], 11.4%
[63,65,69], 11.4%
[51,89], 11.3%
[51,85], 11.2%
[11,25,69], 11.1%
[1,67], 11.1%
[67,85], 11.0%
[63,68,69], 10.9%
[93], 10.9%
[39,64], 10.8%
[11,4], 10.8%
[11,65,69], 10.8%
[1,64], 10.8%
[1,85], 10.8%
[25,4], 10.8%
[63,68,85], 10.8%
[55,63,85], 10.7%
[11,68,85], 10.7%
[1,11,25], 10.7%
[25,68,85], 10.7%
[63,65,69,85], 10.7%
[11,65,85], 10.7%
[55,65,68,85], 10.7%
[55,63,69], 10.7%
[98], 10.6%
[55,65,68,69], 10.6%
[25,65,69], 10.6%
[118,69], 10.6%
[11,9], 10.6%
[64,68], 10.6%
[50,89], 10.6%
[50,85], 10.5%
[50,64], 10.5%
[51,67], 10.5%
[102,45], 10.5%
[45,67], 10.4%
[6,68], 10.4%
[25,65,85], 10.4%
[6,85], 10.4%
[102,25,69], 10.4%
[102,4], 10.3%
[51,64], 10.3%
[68,89], 10.2%
[39,55], 10.2%
[44], 10.2%
[39,6], 10.2%
[11,25,39], 10.2%
[50,67], 10.1%
[102,69,85], 10.1%
[1,102,25], 10.1%
[102,55], 10.1%
[11,5], 10.1%
[39,63], 10.0%
[102,65], 10.0%
[11,25,68], 10.0%
[55,65,68,69,85], 10.0%
[39,69,85], 10.0%

==High-confidence association rules (min_conf=50%)==
[55,65,68,69] => [85] (Conf: 94%, Supp: 10.0%)
[55,65,68,85] => [69] (Conf: 93%, Supp: 10.0%)
[63,65,69] => [85] (Conf: 93%, Supp: 10.7%)
[63,65,85] => [69] (Conf: 93%, Supp: 10.7%)
[55,65,69] => [85] (Conf: 93%, Supp: 12.9%)
[55,65,68] => [85] (Conf: 92%, Supp: 10.7%)
[63,65] => [85] (Conf: 92%, Supp: 11.4%)
[55,65,68] => [69] (Conf: 92%, Supp: 10.6%)
[63,65] => [69] (Conf: 92%, Supp: 11.4%)
[55,65,85] => [69] (Conf: 92%, Supp: 12.9%)
[65,68,85] => [69] (Conf: 91%, Supp: 12.9%)
[55,65] => [85] (Conf: 91%, Supp: 14.0%)
[55,65] => [69] (Conf: 90%, Supp: 13.9%)
